block,basefee,gas_used,demand_lambda,block_max_gas,moving_avg_window
128,4.645241105,188412000,15000,300000000,50
129,4.619165768,188139000,15000,300000000,50
130,4.59393315,188097000,15000,300000000,50
131,4.569325103,187257000,15000,300000000,50
132,4.545556131,189273000,15000,300000000,50
133,4.522718238,188895000,15000,300000000,50
134,4.500974745,191100000,15000,300000000,50
135,4.480207895,189378000,15000,300000000,50
136,4.460348746,189756000,15000,300000000,50
137,4.441428874,189588000,15000,300000000,50
138,4.423483653,192927000,15000,300000000,50
139,4.406504694,192444000,15000,300000000,50
140,4.390384501,189987000,15000,300000000,50
141,4.375464077,193221000,15000,300000000,50
142,4.361430388,191940000,15000,300000000,50
143,4.348318044,190113000,15000,300000000,50
144,4.336199664,190260000,15000,300000000,50
145,4.325152414,191625000,15000,300000000,50
146,4.315184494,193200000,15000,300000000,50
147,4.306140419,193305000,15000,300000000,50
148,4.298026823,191604000,15000,300000000,50
149,4.290718939,190239000,15000,300000000,50
150,4.284319245,191898000,15000,300000000,50
151,4.278745791,191562000,15000,300000000,50
152,4.274164863,191289000,15000,300000000,50
153,4.270720501,196014000,15000,300000000,50
154,4.267906472,189126000,15000,300000000,50
155,4.265739604,190281000,15000,300000000,50
156,4.264184417,189777000,15000,300000000,50
157,4.263499964,194229000,15000,300000000,50
158,4.263398185,189966000,15000,300000000,50
159,4.26404322,193032000,15000,300000000,50
160,4.26516306,190596000,15000,300000000,50
161,4.266930953,192843000,15000,300000000,50
162,4.269533029,196014000,15000,300000000,50
163,4.27277842,194229000,15000,300000000,50
164,4.2765278,193074000,15000,300000000,50
165,4.280780516,190680000,15000,300000000,50
166,4.285460333,192108000,15000,300000000,50
167,4.290484126,191079000,15000,300000000,50
168,4.296072189,190449000,15000,300000000,50
169,4.302131369,191856000,15000,300000000,50
170,4.308538309,192066000,15000,300000000,50
171,4.315539649,191100000,15000,300000000,50
172,4.322960305,192948000,15000,300000000,50
173,4.330721021,189987000,15000,300000000,50
174,4.338749831,191856000,15000,300000000,50
175,4.347128824,192633000,15000,300000000,50
176,4.355694406,190512000,15000,300000000,50
177,4.36437736,189924000,15000,300000000,50
178,4.373145079,189861000,15000,300000000,50
179,4.382048942,190680000,15000,300000000,50
180,4.390780507,184023000,15000,300000000,50
181,4.399748799,191940000,15000,300000000,50
182,4.408839876,191499000,15000,300000000,50
183,4.418141328,192969000,15000,300000000,50
184,4.427250616,186606000,15000,300000000,50
185,4.436687105,195909000,15000,300000000,50
186,4.446068178,188160000,15000,300000000,50
187,4.455466099,189525000,15000,300000000,50
188,4.464668311,188391000,15000,300000000,50
189,4.473707514,188622000,15000,300000000,50
190,4.482714912,188937000,15000,300000000,50
191,4.491601876,190323000,15000,300000000,50
192,4.500429993,190344000,15000,300000000,50
193,4.509249251,189567000,15000,300000000,50
194,4.517829234,184926000,15000,300000000,50
195,4.526225167,187467000,15000,300000000,50
196,4.534380193,187887000,15000,300000000,50
197,4.542348803,189147000,15000,300000000,50
198,4.550055679,185913000,15000,300000000,50
199,4.557741997,189546000,15000,300000000,50
